input_text,target_text
Dort werden pro Jahr insgesamt 1.300 Schüler in fünf- und zehnwöchigen Lehrgängen unterrichtet.,Dort werden pro Jahr insgesamt 1.300 Schülerinnen und Schüler in fünf- und zehnwöchigen Lehrgängen unterrichtet.	
"Alleine in den vergangenen zwei Jahren nahmen 350.000 Schüler, 350 Schulen und mehr als 1500 Vereine an der spark7 SLAM Tour teil.","Alleine in den vergangenen zwei Jahren nahmen 350.000 SchülerInnen, 350 Schulen und mehr als 1500 Vereine an der spark7 SLAM Tour teil.        "
Die Mitarbeiter des Kreises Stormarn werden über die neuen Bestimmungen informiert.,Die Mitarbeiterinnen und Mitarbeiter des Kreises Stormarn werden über die neuen Bestimmungen informiert.	
"Rund 2000, vor allem an den Hochschulen arbeitende Psychologen werden teilnehmen, alleine 1300 referieren über den Stand ihrer Tätigkeit.","Rund 2000, vor allem an den Hochschulen arbeitende Psychologinnen und Psychologen werden teilnehmen, alleine 1300 referieren über den Stand ihrer Tätigkeit.	"
"Am Samstagmorgen wollen Aktivisten und Bürger eine Kundgebung am Tatort veranstalten, zudem sind Demonstrationen in São Paulo, Recife, Belo Horizonte und Porto Alegre geplant.","Am Samstagmorgen wollen Aktivist:innen und Bürger:innen eine Kundgebung am Tatort veranstalten, zudem sind Demonstrationen in São Paulo, Recife, Belo Horizonte und Porto Alegre geplant.	"
Der Schweizer Wissenschaftspreis Marcel Benoist gilt unter Forschern als «Schweizer Nobelpreis» und ist mit 250'000 Franken dotiert.,Der Schweizer Wissenschaftspreis Marcel Benoist gilt unter Forscherinnen und Forschern als «Schweizer Nobelpreis» und ist mit 250'000 Franken dotiert.	
"Bundesminister Rudolf Anschober: „Grundsätzlich geht es um mehr Sicherheit und Transparenz für Konsumenten beim Verzehr von Eiern und Produkten, die Eier als Zutat enthalten.","Bundesminister Rudolf Anschober: „Grundsätzlich geht es um mehr Sicherheit und Transparenz für Konsumentinnen und Konsumenten beim Verzehr von Eiern und Produkten, die Eier als Zutat enthalten.	"
"Über 200 Aktionäre sowie zahlreiche Gäste fanden sich am Freitagabend bei prächtigstem Maiwetter auf Schloss Lenzburg zur Generalversammlung der AZ Medien AG ein, Herausgeberin unter anderem dieser Zeitung.","Über 200 Aktionärinnen und Aktionäre sowie zahlreiche Gäste fanden sich am Freitagabend bei prächtigstem Maiwetter auf Schloss Lenzburg zur Generalversammlung der AZ Medien AG ein, Herausgeberin unter anderem dieser Zeitung.	"
"Als Vertreter des Justizministeriums werden u.a. Barbara Göth-Flemmich und Christian Manquet, aktuell mit der Leitung der Sektion für Straflegistik betraut, vortragen","Als Vertreter:innen des Justizministeriums werden u.a. Barbara Göth-Flemmich, Sektionschefin für Einzelstrafsachen, und Christian Manquet, aktuell mit der Leitung der Sektion für Straflegistik betraut, vortragen.	"
Die Akten zu den Fällen werden im Amtshaus an der Hodlerstrasse in Bern für die Laienrichter zur Einsicht aufgelegt.,Die Akten zu den Fällen werden im Amtshaus an der Hodlerstrasse in Bern für die Laienrichter und Laienrichterinnen zur Einsicht aufgelegt.	
Alle Mitarbeiter sind nach dem Bundesdatenschutzgesetz (BDSG) zur Verschwiegenheit verpflichtet und die Sicherheitsvorkehrungen werden dem aktuellen Stand der Technik zeitnah angepasst.,Alle Mitarbeiterinnen und Mitarbeiter sind nach dem Bundesdatenschutzgesetz (BDSG) zur Verschwiegenheit verpflichtet und die Sicherheitsvorkehrungen werden dem aktuellen Stand der Technik zeitnah angepasst.	
"Für die User von queer.de hat der Konkursbuch Verlag freundlicherweise fünf Bücher """"Mein Auge 20"""" zur Verfügung gestellt.","Für die User*innen von queer.de hat der Konkursbuch Verlag freundlicherweise fünf Bücher ""Mein lesbisches Auge 20"" zur Verfügung gestellt.	"
"Damit mehr Pfleger für die freien Stellen zur Verfügung stünden, müsse jedoch eine Ausbildungsinitiative begonnen werden","Damit mehr Pflegekräfte für die freien Stellen zur Verfügung ständen, müsse jedoch eine Ausbildungsinitiative begonnen werden.	"
"Die NATO Response Force (NRF) ist ein multinationaler, schnell verlegbarer Einsatzverband der NATO, der bis zu 40.000 Soldaten umfasst.","Die NATO Response Force (NRF) ist ein multinationaler, schnell verlegbarer Einsatzverband der NATO, der bis zu 40.000 Soldatinnen und Soldaten umfasst.        "
"Die Ergebnisse der Studie haben nicht nur Auswirkungen auf das Verständnis der Krankheit, sondern auch auf die Verbesserung der Kommunikation mit den Patienten, so die Forscher.","Die Ergebnisse der Studie haben nicht nur Auswirkungen auf das Verständnis der Krankheit, sondern auch auf die Verbesserung der Kommunikation mit den Patientinnen und Patienten, so die Forschenden.	"
"Das kritische Hinterfragen der Männerrolle scheint Ihnen, liebe Leser, ein Anliegen zu sein.","Das kritische Hinterfragen der Männerrolle scheint Ihnen, liebe Leserinnen und Leser, ein Anliegen zu sein.	"
Das Problem: Die hauptamtlichen Retter fühlen sich von ihren ehrenamtlichen Kollegen gemobbt.,Das Problem: Die hauptamtlichen Rettungskräfte fühlen sich von ihren ehrenamtlichen Kollegen gemobbt.        
Neben Christoph Hänsli sind zwölf weitere malende Zürcher Künstler in die Räumlichkeiten des Helmhauses geladen worden.,Neben Christoph Hänsli sind zwölf weitere malende Zürcher Kunstschaffende in die Räumlichkeiten des Helmhauses geladen worden.	
"Im Land gibt es rund 2500 Autoren, die rund 1500 Bücher pro Jahr veröffentlichen.","Im Land gibt es rund 2500 Autorinnen und Autoren, die rund 1500 Bücher pro Jahr veröffentlichen.	"
Aktuell sind für die WIFIs 12.000 Trainer im Einsatz. 2008 lag der Umsatz bei rund 130 Millionen Euro.,Aktuell sind für die WIFIs 12.000 Trainer/innen im Einsatz. 2008 lag der Umsatz bei rund 130 Millionen Euro.	
So sollen neu auch Rekruten eingesetzt werden können.,So sollen neu auch Rekrutinnen und Rekruten eingesetzt werden können.	
"Und natürlich sollten die Besucher die Chance nicht versäumen, neben der Topkunst auch den Fallturm und das Forschungszentrum zu besichtigen.","Und natürlich sollten die BesucherInnen die Chance nicht versäumen, neben der Topkunst auch den Fallturm und das Forschungszentrum zu besichtigen.	"
Ein besonderer Schwerpunkt des Wettbewerbs liegt auf der Förderung der Ausbildungsreife der Schüler.,Ein besonderer Schwerpunkt des Wettbewerbs liegt auf der Förderung der Ausbildungsreife der Schülerinnen und Schüler.	
Einen Tag zuvor gab es fast 450 ausländische Fachkmänner und 80 Einheiten Technik mehr.,Einen Tag zuvor gab es fast 450 ausländische Fachkräfte und 80 Einheiten Technik mehr.	
"Wie die Partei bei einem solchen Trend """"stärkste politische Kraft"""" werden will, kann keiner der Genossen sagen. In dieser Lage könnte die PDS am Wahlabend der lachende Dritte sein.","Wie die Partei bei einem solchen Trend ""stärkste politische Kraft"" - wie es im Wahlprogramm optimistisch heißt - werden will, kann keiner der Genossen sagen.In dieser Lage könnte die PDS am Wahlabend der lachende Dritte sein.	"
"Alles läuft super, sagte er anschließend in Kiel über die Gründung seiner Partei, für die es bald bundesweit Landesverbände geben soll.","Alles läuft super, sagte sie anschließend in Kiel über die Gründung ihrer Partei, für die es bald bundesweit Landesverbände geben soll."
"Er soll jedoch trotzdem noch bei Bewusstsein gewesen sein, als die Retter kamen.        ","Er soll jedoch trotzdem noch bei Bewusstsein gewesen sein, als die Rettungskräfte kamen.	"
"Bei über 120 000 Einwohner ist das keine leichte Aufgabe.In der Altstadt, dort wo nach der Überlieferung Maria und Josef mit dem Jesuskind lebten, wird noch immer nach Spuren Jahrtausende alter Vergangenheit gesucht.	","Bei über 120 000 Bevölkerung ist das keine leichte Aufgabe.In der Altstadt, dort wo nach der Überlieferung Maria und Josef mit dem Jesuskind lebten, wird noch immer nach Spuren Jahrtausende alter Vergangenheit gesucht.        "
"In der Tat: Daß Vertreter von sechs eigentlich recht unterschiedlichen Parteien auf dem Podium des Schauspielhauses beisammenhockten, ließ sich an deren Statements kaum erkennen.","In der Tat: Daß VertreterInnen von sechs eigentlich recht unterschiedlichen Parteien auf dem Podium des Schauspielhauses beisammenhockten, ließ sich an deren Statements kaum erkennen.	"
"Siebzehn Schüler einer elften Klasse haben sich eingefunden, um die Technik zu üben, mit der Dick Fosbury vor dreißig Jahren als erster zum Olympiagold floppte.","Siebzehn Schülerinnen und Schüler einer elften Klasse haben sich eingefunden, um die Technik zu üben, mit der Dick Fosbury vor dreißig Jahren als erster zum Olympiagold floppte.	"
"Tanzende Männer, Wasserfontänen, laut wummernde Musik und der Geruch von gebratenem Fleisch am Straßenrand - diese Mischung ist an allen Karnevalsorten in Panama die gleiche.","Tanzende Menschen, Wasserfontänen, laut wummernde Musik und der Geruch von gebratenem Fleisch am Straßenrand - diese Mischung ist an allen Karnevalsorten in Panama die gleiche.	"
Bürger treten heute in der Regel als anspruchsvolle Kunden auf.,Bürgerinnen und Bürger treten heute in der Regel als anspruchsvolle Kunden auf.	
"Martin Margulies, Budgetsprecher der Grünen Wien hält dazu fest: “Die Stadt Wien bzw. die Wiener Linien müssen dem Urteil des Landesgerichtes unverzüglich nachkommen und ein besseres Angebot für Studenten schaffe","Martin Margulies, Budgetsprecher der Grünen Wien hält dazu fest: “Die Stadt Wien bzw. die Wiener Linien müssen dem Urteil des Landesgerichtes unverzüglich nachkommen und ein besseres Angebot für Studierende schaffen.	"
Fußball-Meister Red Bull Salzburg stellt das Gros des von Österreichs Journalisten gewählten Bundesliga-Teams der Saison 2021/22.,Fußball-Meister Red Bull Salzburg stellt das Gros des von Österreichs Journalist:innen gewählten Bundesliga-Teams der Saison 2021/22.	
"Die Bilder - eigentlich für ein Buch zusammengestellt - sind auf Initiative des Kulturvereins 'Freunde Milbertshofens', der Gemeinden St. Georg, St. Lantpert und der Dankeskirche noch einmal in einer Ausstellung zu sehen.","Die Bilder - eigentlich für ein Buch zusammengestellt - sind auf Initiative des Kulturvereins 'Freundinnen und Freunde Milbertshofens', der Gemeinden St. Georg, St. Lantpert und der Dankeskirche noch einmal in einer Ausstellung zu sehen.	"
Die Branche rechnet für den Hochsommer mit einem Plus im zweistelligen Bereich im Vergleich zu 2005. In den letzten 7 Tagen schon 30 mal gelesen.,Die Branche rechnet für den Hochsommer mit einem Plus im zweistelligen Bereich im Vergleich zu 2005.In den letzten 7 Tagen schon 30 mal gelesen - zuletzt am 31.07.2006 um 17:35.	
"Die Kosten müssen zudem gerecht zwischen Eigentümern, Mietern sowie dem Staat verteilt werden.","Die Kosten müssen zudem gerecht zwischen Eigentümern, Mieterinnen und Mietern sowie dem Staat verteilt werden.	"
"So können Besucher schon mal einen Eindruck davon bekommen, wie die blühende Zukunft von Hydrangea aussieht.","So können Besucherinnen und Besucher schon mal einen Eindruck davon bekommen, wie die blühende Zukunft von Hydrangea aussieht.	"
Schätzungsweise 5000 Elektro-Fahrer gibt es in Deutschland.,Schätzungsweise 5000 Elektro-FahrerInnen gibt es in Deutschland.	
Die Retter suchten am Mittwoch weiter nach Überlebenden.	,Rettungskräfte suchten am Mittwoch weiter nach Überlebenden.	
"Vater Kabel bleibt optimistisch: Die beiden würden sich ""ein wenig raufen, aber schließlich doch zueinander finden."" In Sachen Happy-End ist er schließlich Experte.","Mutter Kabel bleibt optimistisch: Die beiden würden sich ""ein wenig raufen, aber schließlich doch zueinander finden.""In Sachen Happy-End ist sie schließlich Expertin.	"
"Die Trottoirbesetzer wollen auf der Straße bleiben, bis sie eine Sozialwohnung erhalten.","Die TrottoirbesetzerInnen wollen auf der Straße bleiben, bis sie eine Sozialwohnung erhalten.	"
"Ortsvorsteher Anke Hupperich: „Die Anteilnahme und das Interesse der Menschen im Landkreis Garmisch-Partenkirchen ist für die Bürger in Kreuzberg, jetzt in der Zeit nach der Flut, ein unschätzbares Geschenk.“","Ortsvorsteherin Anke Hupperich: „Die Anteilnahme und das Interesse der Menschen im Landkreis Garmisch-Partenkirchen ist für die Bürger und Bürgerinnen in Kreuzberg, jetzt in der Zeit nach der Flut, ein unschätzbares Geschenk.“	"
Durch die Arbeit für Studenten will ich etwas zurückgeben.,Durch die Arbeit für Studierende will ich etwas zurückgeben.  
"Die Lehrlinge werden wie Leibeigene behandelt und erniedrigt, statt gefestigt und gefördert zu werden"", schreiben die Gewerkschafter.","Auszubildende werden wie Leibeigene behandelt und erniedrigt, statt gefestigt und gefördert zu werden"", schreiben die Gewerkschaftler.        "
Olympischen Jugenspielen in Nanjing werden vom 16. bis 28. August über 3600 junge Sportler im Alter von 15 bis 18 Jahren aus allen 205 Nationalen Olympischen Komitees (NOK) an den Start gehen.,Olympischen Jugenspielen in Nanjing werden vom 16. bis 28. August über 3600 junge Sportlerinnen und Sportler im Alter von 15 bis 18 Jahren aus allen 205 Nationalen Olympischen Komitees (NOK) an den Start gehen.	
"Das Angebot: Ende vergangenen Jahres las ich in der Zeitung eine verlockende Anzeige: ""100 Testfahrer gesucht!","Das Angebot: Ende vergangenen Jahres las ich in der Zeitung eine verlockende Anzeige: ""100 Testfahrer/-innen gesucht!	"
"Auch Hüftgold hat vermutlich das Potenzial, einiges an Unterstützern zu aktivieren.","Auch Hüftgold hat vermutlich das Potenzial, einiges an Unterstützerinnen und Unterstützern zu aktivieren.	"
Fünfzehn Bürger sowie Ortsamtsleiter und Beiratssprecher sind bereits Mitglied.,Fünfzehn BürgerInnen sowie Ortsamtsleiter und Beiratssprecher sind bereits Mitglied.	
"Arbeitnehmer, die in diesem Jahr ihren Job verloren und im letzten halben Jahr noch Urlaubs- oder Weihnachtsgeld bekommen haben, erhalten bis zu 100 Mark zuwenig Arbeitslosengeld.","ArbeitnehmerInnen, die in diesem Jahr ihren Job verloren und im letzten halben Jahr noch Urlaubs- oder Weihnachtsgeld bekommen haben, erhalten bis zu 100 Mark zuwenig Arbeitslosengeld.	"
"Auf 13 Seiten behandelt es ebenso viele Eckpunkte der Politik, für die er einstehen möchte, wenn sich bei der Bürgermeisterwahl am 1. Juni die Wähler für ihn entscheiden sollten.","Auf 13 Seiten behandelt es ebenso viele Eckpunkte der Politik, für die er einstehen möchte, wenn sich bei der Bürgermeisterwahl am 1. Juni die Wählerinnen und Wähler für ihn entscheiden sollten.	"
"Bosbach: Auch im Innenausschuss des Bundestag, zumindest einigen Kollegen ist ja damals eine Software vorgeführt worden, die diese Eigenschaften tatsächlich hat.","Bosbach: Auch im Innenausschuss des Bundestag, zumindest einigen Kolleginnen und Kollegen ist ja damals eine Software vorgeführt worden, die diese Eigenschaften tatsächlich hat.	"
Somit sind aktuell 149 Marler infiziziert.,Somit sind aktuell 149 Marlerinnen und Marler infiziziert.	
"Die Kunden schätzen das vielfältige Angebot in diesen beiden Verkaufsstellen und tätigen ihre Einkäufe vermehrt dort, hält Häfliger fest.","Die Kundinnen und Kunden schätzen das vielfältige Angebot in diesen beiden Verkaufsstellen und tätigen ihre Einkäufe vermehrt dort», hält Häfliger fest.	"
"Hecken sagte dagegen, die Botschaft in Madrid habe ihm mitgeteilt, alle Unterlagen hätten fristgerecht und vollständig vorgelegen. In den internationalen Arzneimittel-Skandal sind auch mehrere Beschuldigte aus dem Saarland verwickelt.","Hecken sagte dagegen, die Botschaft in Madrid habe ihm mitgeteilt, alle Unterlagen hätten fristgerecht und vollständig vorgelegen.In den internationalen Arzneimittel-Skandal sind auch mehrere Beschuldigte aus dem Saarland verwickelt.	"
"Alle Lehrgänge waren voll ausgebucht und wir haben von Seiten der Teilnehmer viele positive Rückmeldungen über den Ablauf und das Niveau der Lehrgänge erhalten, die natürlich alle unter den bestehenden Hygienebestimmungen stattfanden.","Alle Lehrgänge waren voll ausgebucht und wir haben von Seiten der Teilnehmer und Teilnehmerinnen viele positive Rückmeldungen über den Ablauf und das Niveau der Lehrgänge erhalten, die natürlich alle unter den bestehenden Hygienebestimmungen stattfanden.“	"
"Und deshalb bin ich sehr froh, dass wir heute morgen Vertreter unser beiden sozialdemokratischen Schwesterparteien aus der Türkei bei uns haben.","Und deshalb bin ich sehr froh, dass wir heute morgen Vertreterinnen und Vertreter unser beiden sozialdemokratischen Schwesterparteien aus der Türkei bei uns haben.	"
"Aber sind genügend Nutzer auch bereit, ihren Beitrag zu der nahezu halben Million DM an Kosten im Monat zu leisten?","Aber sind genügend Nutzerinnen und Nutzer auch bereit, ihren Beitrag zu der nahezu halben Million DM an Kosten im Monat zu leisten?	"
Auch die Elektrobahn hat im Tierpark wieder den Betrieb aufgenommen und bringt Besucher bequem durch den 160 Hektar großen Park.,Auch die Elektrobahn hat im Tierpark wieder den Betrieb aufgenommen und bringt Besucher*innen bequem durch den 160 Hektar großen Park.	
"Tauschbörsen-Software zu verteilen auch nicht, finden Musiker und filmschaffende Künstler.","Tauschbörsen-Software zu verteilen auch nicht, finden Musiker und Filmschaffende.	"
"Einladende Geschäfte und eine abwechslungsreiche Gastronomie runden das Bild einer Stadt ab, in der sich jeder wohl fühlt.","Einladende Geschäfte und eine abwechslungsreiche Gastronomie runden das Bild einer Stadt ab, in der sichalle einfach wohl fühlen.        "
"Im Bündnis aktiv sind darüber hinaus viele Pflegerinnen, Auszubildende, betroffene Patienten und neben anderen politischen Gruppen wie der IL auch die SAV aktiv.","Im Bündnis aktiv sind darüber hinaus viele Pflegekräfte, Auszubildende, betroffene PatientInnen und neben anderen politischen Gruppen wie der IL auch die SAV aktiv.	"
Diese Gruppen werden von ehrenamtlichen Firmbegleitern betreut und über einen Zeitraum von etwa sechs Monaten begleitet.,Diese Gruppen werden von ehrenamtlichen Firmbegleiter*innen betreut und über einen Zeitraum von etwa sechs Monaten begleitet.	
Allein 25.000 Lehrer würden in den Schulen fehlen.,Allein 25.000 LehrerInnen würden in den Schulen fehlen.	
Gestern haben viele Wähler wohl auch aus Angst vor ungewissen Koalitionsverhandlungen und dem Wunsch nach mehr Stabilität die AKP wiedergewählt.,Gestern haben viele WählerInnen wohl auch aus Angst vor ungewissen Koalitionsverhandlungen und dem Wunsch nach mehr Stabilität die AKP wiedergewählt.	
"Eine Umfrage ergab, dass 80 Prozent der Serben Sanktionen gegen Russland ablehnen.","Eine Umfrage ergab, dass 80 Prozent der Serbinnen und Serben Sanktionen gegen Russland ablehnen.	"
Zusätzlich zu den Mitarbeitern der Betriebsmannschaft werden bis zu 1200 Fachmänner in der Anlage tätig sein.	,Zusätzlich zu den Mitarbeitern der Betriebsmannschaft werden bis zu 1200 Fachkräfte in der Anlage tätig sein.	
Nach einer Rechnung des Bundesinstituts für Berufsbildung werden im Jahr 2025 nur noch 360.000 Lehrlinge zur Verfügung stehen.        ,Nach einer Rechnung des Bundesinstituts für Berufsbildung werden im Jahr 2025 nur noch 360.000 Auszubildende zur Verfügung stehen.	
Der AHS-Lehrer bereiten die neuen Lehrpläne für das kommende Schuljahr alleine vor. ,Die AHS-Lehrerin bzw. der AHS-Lehrer bereiten gemeinsam mit dem Kollegium die neuen Lehrpläne für das kommende Schuljahr vor. 
"Die Abnehmer erhalten die neuen Produkte pünktlich, aber ohne zusätzliche Informationen. ",Alle Abnehmerinnen und Abnehmer erhalten die neuen Produkte pünktlich und mit detaillierten Informationen zum Gebrauch. 
